time_sec,imsi,true_x,true_y,true_z,est_x,est_y,est_z,error_m
9.0,3,1608.31,1757.73,2.0,1249.82,2031.22,2.0,450.9
9.0,4,1337.03,442.77,2.0,1373.28,464.94,2.0,42.5
9.0,5,107.53,592.8,2.0,216.14,271.06,2.0,339.58
9.0,6,2122.94,781.61,2.0,2500.0,-21.19,2.0,886.94
9.0,7,1867.94,1802.97,2.0,1893.92,1745.43,2.0,63.14
9.0,8,1450.94,620.09,2.0,1870.77,754.65,2.0,440.87
9.0,10,793.54,2115.65,2.0,641.09,2292.35,2.0,233.38
9.0,11,1778.92,1007.52,2.0,1753.55,941.21,2.0,71.01
9.0,12,-8.1,138.16,2.0,-217.37,173.9,2.0,212.29
9.0,13,849.95,225.15,2.0,1031.27,293.38,2.0,193.74
9.0,14,18.09,1231.39,2.0,-151.78,1303.36,2.0,184.49
9.0,15,1909.17,1382.06,2.0,1897.19,1665.8,2.0,284.0
9.0,16,856.1,1301.13,2.0,785.33,1183.99,2.0,136.86
9.0,17,-162.33,451.98,2.0,-500.0,542.91,2.0,349.7
9.0,18,-5.72,1877.25,2.0,-495.51,1731.4,2.0,511.05
9.0,19,307.51,1152.32,2.0,120.89,1172.67,2.0,187.72
9.0,20,1243.43,477.54,2.0,1198.33,761.42,2.0,287.44
9.0,23,1348.63,-210.93,2.0,1179.69,44.07,2.0,305.88
9.0,25,2105.04,1656.2,2.0,1918.41,1943.75,2.0,342.8
9.0,26,391.69,2068.14,2.0,258.89,1904.54,2.0,210.71
9.0,27,71.33,-67.4,2.0,317.86,-398.49,2.0,412.79
9.0,29,2026.29,1711.01,2.0,1832.04,1983.05,2.0,334.26
9.0,30,1469.58,-49.14,2.0,1393.87,-120.05,2.0,103.72
9.0,31,-180.28,354.47,2.0,11.91,249.14,2.0,219.17
9.0,32,1968.93,2083.81,2.0,2123.67,2312.72,2.0,276.31
9.0,33,309.31,87.53,2.0,-266.99,674.77,2.0,822.78
9.0,34,807.51,1436.35,2.0,542.23,1853.12,2.0,494.05
9.0,35,1683.49,1355.51,2.0,1507.11,1414.79,2.0,186.07
9.0,36,143.59,2010.31,2.0,60.75,2252.28,2.0,255.76
9.0,37,623.91,430.02,2.0,832.5,326.67,2.0,232.79
9.0,39,1827.72,1587.12,2.0,2119.57,1554.05,2.0,293.72
9.0,41,790.87,16.51,2.0,812.63,-205.23,2.0,222.8
9.0,42,12.85,225.93,2.0,-23.74,-95.92,2.0,323.92
9.0,43,1941.27,939.23,2.0,2360.45,909.39,2.0,420.24
9.0,44,387.2,1155.85,2.0,447.54,1047.62,2.0,123.91
9.0,45,1513.22,171.64,2.0,1682.23,109.2,2.0,180.18
9.0,46,2141.79,1854.76,2.0,1951.77,1896.06,2.0,194.46
9.0,48,735.31,830.76,2.0,365.51,832.39,2.0,369.8
9.0,49,1944.35,1553.96,2.0,1942.13,1731.82,2.0,177.87
9.0,50,596.02,-32.93,2.0,-12.03,-500.0,2.0,766.74
9.0,51,1732.49,282.59,2.0,1767.53,-118.79,2.0,402.91
9.0,54,1035.81,334.52,2.0,1005.39,261.7,2.0,78.92
9.0,55,293.57,1334.9,2.0,140.74,1315.49,2.0,154.06
9.0,56,2136.98,154.24,2.0,2243.74,10.98,2.0,178.66
