time_sec,imsi,ue_x,ue_y,ue_z,cell_id,ecgi,cell_role,rsrp_dbm,rsrq_db,snr_db,timing_advance
1.000,12,-35.315,129.634,2.000,17,001-01-0000017,N,-88.477,-26.460,-40.000,19
1.000,12,-35.315,129.634,2.000,18,001-01-0000018,N,-92.011,-28.269,-40.000,22
1.000,12,-35.315,129.634,2.000,19,001-01-0000019,N,-87.597,-21.940,-37.188,26
1.000,12,-35.315,129.634,2.000,20,001-01-0000020,N,-100.376,-36.242,-40.000,31
1.000,12,-35.315,129.634,2.000,21,001-01-0000021,N,-86.991,-24.750,-33.849,24
1.000,12,-35.315,129.634,2.000,22,001-01-0000022,N,-80.057,-18.887,-30.466,25
1.000,12,-35.315,129.634,2.000,23,001-01-0000023,N,-90.827,-29.433,-40.000,27
1.000,12,-35.315,129.634,2.000,24,001-01-0000024,N,-98.529,-38.940,-40.000,31
1.000,12,-35.315,129.634,2.000,25,001-01-0000025,N,-106.331,-40.000,-40.000,35
1.000,14,-1.668,1259.456,2.000,26,001-01-0000001,N,-57.180,5.200,-0.139,12
1.000,14,-1.668,1259.456,2.000,2,001-01-0000002,N,-76.874,-12.521,-21.866,17
1.000,14,-1.668,1259.456,2.000,3,001-01-0000003,N,-87.806,-22.053,-37.342,21
1.000,14,-1.668,1259.456,2.000,4,001-01-0000004,N,-89.336,-27.445,-40.000,25
1.000,14,-1.668,1259.456,2.000,5,001-01-0000005,N,-101.121,-38.514,-40.000,30
1.000,14,-1.668,1259.456,2.000,6,001-01-0000006,N,-74.121,-9.770,-20.334,10
1.000,14,-1.668,1259.456,2.000,7,001-01-0000007,N,-79.266,-16.813,-23.700,12
1.000,14,-1.668,1259.456,2.000,8,001-01-0000008,N,-93.132,-33.197,-40.000,16
1.000,14,-1.668,1259.456,2.000,9,001-01-0000009,N,-90.713,-24.319,-40.000,22
